time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-29T12:41:40.700Z,19.5085,-155.677,5.11,2.75,ml,16,142,,0.13,hv,hv72966042,2022-03-29T13:44:57.690Z,"20 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.54,0.81,0.15962009483495,12,reviewed,hv,hv
2022-03-29T12:31:29.959Z,61.9928,-151.2371,68.2,2.5,ml,,,,0.76,ak,ak02241qmg7f,2022-03-29T12:43:26.457Z,"8 km E of Skwentna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-03-29T12:13:52.136Z,38.8865,21.2267,10,4.3,mb,,81,1.373,0.47,us,us7000gy2t,2022-03-29T14:10:40.040Z,"1 km ESE of Sardínia, Greece",earthquake,6.3,1.9,0.084,40,reviewed,us,us
2022-03-29T10:16:58.920Z,17.9443333333333,-66.8941666666667,7.26,2.9,md,17,200,,0.28,pr,pr71342553,2022-03-29T11:09:29.530Z,"3 km SSE of Guánica, Puerto Rico",earthquake,0.86,0.35,0.213604145577484,10,reviewed,pr,pr
2022-03-29T09:56:11.440Z,19.375,-67.7135,49,3.69,md,21,207,1.0178,0.37,pr,pr2022088000,2022-03-29T11:03:39.736Z,"114 km NE of Punta Cana, Dominican Republic",earthquake,1.85,7.7,0.12,15,reviewed,pr,pr
2022-03-29T09:10:50.810Z,17.9455,-67.1073333333333,10.94,2.72,md,18,228,,0.09,pr,pr71342528,2022-03-29T09:43:33.260Z,"7 km WSW of La Parguera, Puerto Rico",earthquake,0.47,0.23,0.19166553387522,16,reviewed,pr,pr
2022-03-29T09:06:01.410Z,23.9243,122.3055,10,4.4,mb,,123,0.695,0.54,us,us7000gy20,2022-03-29T10:29:29.040Z,"71 km E of Hualien City, Taiwan",earthquake,2.2,1.9,0.088,37,reviewed,us,us
2022-03-29T09:04:53.612Z,60.1596,-153.5874,166,2.6,ml,,,,0.61,ak,ak02241ooeyw,2022-03-29T09:37:24.040Z,"40 km E of Port Alsworth, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-03-29T08:34:51.769Z,-35.2131,138.8378,10,3,ml,,142,2.871,0.23,us,us7000gy27,2022-03-30T00:27:56.416Z,"near the coast of South Australia",earthquake,6.5,2,0.148,6,reviewed,us,us
2022-03-29T08:24:36.513Z,-5.6818,132.723,10,4.5,mb,,142,2.687,1.2,us,us7000gy1v,2022-03-29T09:52:32.040Z,"6 km SSW of Tual, Indonesia",earthquake,6.2,1.9,0.163,11,reviewed,us,us
2022-03-29T07:12:17.634Z,-22.1111,170.069,10,5.2,mww,,42,2.478,1.45,us,us7000gy1p,2022-03-29T13:35:59.040Z,"234 km ESE of Tadine, New Caledonia",earthquake,7.9,1.8,0.08,15,reviewed,us,us
2022-03-29T06:33:41.725Z,31.63093562,-104.2282465,9.139404297,2.7,ml,21,82,0.1563846341,0.3,tx,tx2022gdlt,2022-03-29T21:59:50.863Z,"54 km NW of Toyah, Texas",earthquake,2.218841015,2.811729586,0.2,12,reviewed,tx,tx
2022-03-29T06:18:29.000Z,44.7578333,-110.922,10.21,2.59,ml,24,100,0.05936,0.18,uu,uu60487537,2022-03-29T14:34:46.490Z,"17 km NE of West Yellowstone, Montana",earthquake,0.38,0.58,0.127,5,reviewed,uu,uu
2022-03-29T06:00:27.694Z,31.16431321,-103.205535,5.437451172,2.8,ml,12,75,0.03690043745,0.2,tx,tx2022gdkr,2022-03-29T21:32:41.401Z,"16 km WSW of Coyanosa, Texas",earthquake,1.695266176,1.270329942,0.2,18,reviewed,tx,tx
